--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
076.550  000.117  000.027: require('mason-core.installer.managers.powershell')
076.572  000.021  000.021: require('mason.version')
076.574  000.168  000.031: require('mason-core.fetch')
076.596  000.021  000.021: require('mason-core.providers')
076.747  000.051  000.051: require('mason-core.purl')
076.752  000.085  000.034: require('mason-core.package.AbstractPackage')
076.883  000.031  000.031: require('mason-core.installer.compiler.expr')
076.887  000.071  000.040: require('mason-core.installer.compiler.link')
077.028  000.023  000.023: require('mason-core.installer.context.InstallContextCwd')
077.058  000.029  000.029: require('mason-core.installer.context.InstallContextFs')
077.091  000.032  000.032: require('mason-core.installer.context.InstallContextSpawn')
077.123  000.030  000.030: require('mason-core.receipt')
077.133  000.160  000.047: require('mason-core.installer.context')
077.134  000.184  000.024: require('mason-core.installer')
077.142  000.229  000.045: require('mason-core.installer.managers.std')
077.143  000.254  000.026: require('mason-core.installer.compiler.schemas')
077.168  000.025  000.025: require('mason-core.installer.compiler.util')
077.173  000.390  000.039: require('mason-core.installer.compiler')
077.205  000.031  000.031: require('mason-core.installer.linker')
077.208  000.455  000.034: require('mason-core.installer.InstallRunner')
077.236  000.027  000.027: require('mason-core.installer.UninstallRunner')
077.239  000.620  000.053: require('mason-core.package')
077.241  000.644  000.023: require('mason-registry.sources.util')
077.245  000.902  000.043: require('mason-registry.sources.github')
079.887  000.032  000.032: require('mason-null-ls.automatic_installation')
079.983  000.021  000.021: require('mason-core.notify')
079.997  000.068  000.047: require('mason-null-ls.api.command')
080.055  000.056  000.056: require('null-ls.builtins.diagnostics.checkmake')
080.107  000.050  000.050: require('null-ls.builtins.formatting.prettier')
080.225  000.062  000.062: require('null-ls.builtins.formatting.stylua')
080.267  000.040  000.040: require('null-ls.builtins.formatting.shfmt')
080.363  000.045  000.045: require('null-ls.builtins.formatting.terraform_fmt')
080.423  000.058  000.058: require('none-ls.formatting.ruff')
080.534  000.092  000.092: require('none-ls.formatting.ruff_format')
080.956  000.044  000.044: require('null-ls.loop')
080.965  000.115  000.071: require('null-ls.client')
081.011  000.003  000.003: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
081.018  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
081.459  000.028  000.028: require('window-picker.util')
081.468  000.082  000.054: require('window-picker.filters.default-window-filter')
081.501  000.032  000.032: require('window-picker.pickers.window-picker')
081.575  000.033  000.033: require('window-picker.hints.statusline-hint')
081.578  000.075  000.042: require('window-picker.hints.statusline-winbar-hint')
081.607  000.029  000.029: require('window-picker.configurer')
081.611  000.256  000.037: require('window-picker.builder')
081.642  000.031  000.031: require('window-picker.config')
081.644  000.624  000.337: require('window-picker')
081.835  000.003  000.003: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
081.845  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
082.149  000.035  000.035: require('bufferline.lazy')
082.203  000.049  000.049: require('bufferline.commands')
082.325  000.097  000.097: require('bufferline.config')
082.329  000.474  000.294: require('bufferline')
082.469  000.059  000.059: require('bufferline.utils')
082.472  000.139  000.080: require('bufferline.groups')
082.514  000.034  000.034: require('bufferline.constants')
082.547  000.031  000.031: require('bufferline.colors')
082.700  000.066  000.066: require('bufferline.highlights')
083.279  000.050  000.050: require('vim.version')
084.211  001.025  000.975: require('bufferline.hover')
084.448  000.140  000.140: require('bufferline.ui')
084.536  000.003  000.003: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
084.561  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
085.040  000.476  000.476: require('mini.map')
085.252  000.042  000.042: sourcing /home/ususstudios/.local/share/nvim/lazy/cord.nvim/plugin/cord.vim
085.257  000.071  000.029: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
085.261  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
085.270  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
085.547  000.251  000.251: require('cord')
085.629  000.002  000.002: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
085.636  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
086.193  000.079  000.079: require('plenary.bit')
086.247  000.052  000.052: require('plenary.functional')
086.275  000.276  000.146: require('plenary.path')
086.348  000.395  000.119: require('plenary.log')
086.391  000.479  000.083: require('lsp-file-operations.log')
086.396  000.757  000.279: require('lsp-file-operations')
087.310  000.162  000.162: require('neo-tree.log')
087.450  000.138  000.138: require('neo-tree.utils._compat')
087.477  000.471  000.171: require('neo-tree.utils')
087.529  000.051  000.051: require('neo-tree.collections')
087.581  000.050  000.050: require('neo-tree.health.typecheck')
087.585  000.638  000.066: require('neo-tree.events.queue')
087.590  000.703  000.066: require('neo-tree.events')
090.348  002.119  002.119: require('vim.filetype')
090.857  000.024  000.024: require('luasnip.util.types')
090.860  000.060  000.035: require('luasnip.util.ext_opts')
090.947  000.022  000.022: require('luasnip.util.lazy_table')
090.974  000.025  000.025: require('luasnip.extras.filetype_functions')
090.979  000.089  000.042: require('luasnip.default_config')
090.981  000.119  000.030: require('luasnip.session')
091.002  000.556  000.377: require('luasnip.config')
091.018  002.866  000.192: sourcing /home/ususstudios/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
091.021  002.892  000.026: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
091.064  000.016  000.016: sourcing /home/ususstudios/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
091.067  000.041  000.025: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
091.070  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
091.078  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
091.151  000.002  000.002: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
091.157  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
091.408  000.002  000.002: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
091.415  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
091.651  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
091.662  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
091.911  000.002  000.002: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
091.919  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
092.180  000.002  000.002: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
092.203  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
092.323  000.035  000.035: require('cmp.utils.api')
092.376  000.024  000.024: require('cmp.types.cmp')
092.436  000.030  000.030: require('cmp.utils.misc')
